SC,AIF,Nl,RW,Economic_Impact,Environmental_Impact,Social_Impact,EQ0,EQ1,EQ2,EQ3,EQ4,F0,F1,F2,F3
1,28399.137027055,26,2025.4062111004218,2333750.2405604124,70321.67263842191,0.8766095595203462,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
4,189573.85732087033,178,2025.4062111004218,15805885.602484718,176032.86751223673,0.8766095595203462,1,1,1,1,1,0.9430730897219213,0.056926910278078745,0.0,0.0
4,185861.48909824534,178,2536.571839163428,13759856.369101092,172585.66844837068,0.9716570917001541,1,1,1,1,1,0.9299527284867148,0.0,0.017245297591128993,0.052801973922156194
1,25243.256991272217,27,2687.6079000014083,1756772.0541515928,62507.11254981692,0.999741149126331,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,41646.853116528444,25,1537.5541112324956,3937102.948415067,103125.5410504514,0.39953337204701733,0,1,0,0,1,0.9136575643616655,0.05500760473659877,0.0,0.03133483090173581
1,37087.592272441325,28,1644.6164759802896,3358656.2118275687,91835.94276985471,0.7262590222080393,0,0,1,1,1,0.9517730151348764,0.0,0.02288917936570183,0.025337805499421752
1,39558.33757021358,25,2687.6079000014083,3155165.536028471,97953.97874529079,0.999741149126331,1,1,1,1,1,0.8198428884227952,0.16618641087789754,0.0,0.013970700699307333
1,31352.542887594675,25,2316.803849180515,2557859.4980607964,77634.8681026154,0.9307928317553952,1,1,1,1,1,0.9117337836833472,0.06619550234761216,0.022070713969040593,0.0
1,63538.35226746756,25,2687.6079000014083,5546309.567883477,157333.06275753875,0.999741149126331,1,1,1,1,1,0.8168783035212055,0.165585474123435,0.01753622235535941,0.0
1,52902.537234222415,25,2025.4062111004218,5065017.250451889,130996.75886569361,0.8766095595203462,1,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,43201.32531485158,29,2670.6233961607927,3515423.6525331065,106974.71030344201,0.9965830041206383,1,1,1,1,1,0.8674913334212104,0.13250866657878954,0.0,0.0
4,210602.4076437944,175,1845.8756606317183,18035133.55902259,195559.37852638052,0.8432271589125546,1,1,1,1,1,0.9017938123745619,0.08833468940511696,0.0,0.009871498220321153
4,209259.8856783907,182,2459.1627108509856,16884887.36025916,194312.75098707707,0.9572634270827418,1,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
4,175000.0,186,2679.4945486288257,11985481.011009887,162500.0,0.9982325304255906,1,1,1,1,1,0.9124716987785617,0.05493620859453139,0.03259209262690681,0.0
1,53667.611583482445,25,2670.6233961607927,4517333.218250103,132891.22868290893,0.9965830041206383,1,1,1,1,1,0.8460769434596405,0.05093885050368248,0.015689882106908363,0.08729432392976869
4,175000.0,175,2686.0110066019674,12828969.669640467,162500.0,0.9312624002268779,1,1,1,1,0,0.9498254499900783,0.027491157993774638,0.022683392016147014,0.0
1,25982.04794323017,25,2025.4062111004218,2155396.223060187,64336.499668950906,0.8311550140658008,1,0,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,31530.38884609427,25,1704.6780039744933,2612761.324566718,78075.24857128104,0.8169724812150416,1,1,1,1,1,0.8871834908748529,0.0,0.0619662627172834,0.050850246407863654
1,25000.0,25,1845.8756606317183,1996059.707638599,61904.7619047619,0.8432271589125546,1,1,1,1,1,0.8689030093112405,0.12198048514983828,0.0,0.009116505538921127
4,221205.70094505296,175,2459.1627108509856,18063132.091469586,205405.29373469204,0.9572634270827418,1,1,1,1,1,0.9301023927273213,0.05343796329186271,0.016459643980815987,0.0
1,56285.960591085786,27,2186.6501372856956,5227397.353468403,139374.7595588791,0.87250078620208,0,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
4,183668.73996590424,180,1601.944880884009,16927762.941499084,170549.54425405397,0.3433245493377751,0,1,0,0,0,1.0,0.0,0.0,0.0
